,ID,Is_Lead
0,VBENBARO,0
1,CCMEWNKY,1
2,VK3KGA9M,0
3,TT8RPZVC,0
4,SHQZEYTZ,0
5,MZZAQMPT,0
6,Y88TW36I,0
7,3UGOAQNU,0
8,VVUKMUJT,1
9,9R363ZXS,0
10,BLISM6JE,0
11,CH8S7JK7,0
12,EAHDPXEJ,1
13,BNUK9PRF,0
14,GP2PG6FJ,0
15,WNQCSN8A,0
16,32DN4YVZ,1
17,GXAMDANM,0
18,MXETLUP4,0
19,MPXK6TVE,1
20,LBSIME2K,0
21,D6ORJTM6,0
22,HGDIBAKA,1
23,UUZYL9DZ,1
24,AUGE3VWK,0
25,MX7GOX6Q,0
26,TQN6K35W,0
27,QQDRMQQN,1
28,UP6GC6F4,0
29,BMHBUVHB,1
30,KGLDW86A,0
31,FQEOMOP4,0
32,DYWM5MEU,0
33,DXHGXV8F,0
34,AVFBFQKC,0
35,DBIDKYMV,0
36,KYZHMEBY,0
37,SSFEBUGF,0
38,MGJTAG8X,1
39,MP6BERDO,0
40,GXZ8ED68,0
41,ICTFGWQR,1
42,EAYHTRKH,0
43,6FN97QLQ,0
44,3H5MZDDW,1
45,2DXZZWSN,0
46,MM4QIRE5,0
47,HJWVYXUA,0
48,RBRSJUP3,1
49,YFRQKGXW,1
50,N3SADEBV,0
51,G2A2YYXY,0
52,XMGA3WT3,0
53,KVZQPSGI,0
54,UAKARBBG,0
55,WYKKL85Z,0
56,GHNYYGRR,0
57,UBAJANWT,0
58,LSARSF7U,0
59,4CNSJVVR,1
60,JRHJSWYO,1
61,FHZ8SVVI,0
62,JUIRE47M,1
63,GDIVN2GL,0
64,WMF3DYE3,1
65,MAQEHEWK,0
66,2W8DLKFU,0
67,AKGRML6H,0
68,B7WUUGCY,0
69,TLJOYATM,1
70,UH6ZDM3W,1
71,7IP5SSRR,1
72,PV85PMEB,1
73,FGDOY4NI,0
74,7YYIXJQE,0
75,BHW42XPW,0
76,3PKEEAT4,0
77,ACFPZ3LM,0
78,6GORGNYN,1
79,AEPQTMJK,0
80,S6FNZFKK,0
81,JTYNEKRQ,1
82,GPXDPHHC,0
83,O8TMKNNB,0
84,XSQVHKYG,0
85,MJ3CZRAE,0
86,3NSQEYBJ,1
87,SXVBASGH,0
88,5ZIGZYSS,0
89,FQSHBCUT,1
90,MU45XUBP,0
91,BVULDPBI,0
92,82GRNPFG,1
93,KKBNELBF,0
94,HXQGBDGY,0
95,28HDZICG,1
96,GHBPKPJC,0
97,FDWZFSSC,1
98,FWTIWZF3,0
99,JYMHVPMY,0
100,AHUDO2T6,1
101,ACDHABS3,0
102,5NTYJJDV,0
103,2M4VPY4V,0
104,KAHP9XLF,0
105,YRLEWZFQ,0
106,JZWVLXHJ,0
107,JZZSXUKT,0
108,93RURE2J,1
109,4RNB6FDV,1
110,27E7HMMG,0
111,2QEFQQWN,0
112,DDTCD2XI,0
113,VGVEYSEG,1
114,WCXVE7RK,0
115,RTN4R3UE,0
116,K2PVS4RB,0
117,Q36J686Z,0
118,NWKHMEOF,0
119,PVJYQQGT,0
120,GPUMRNWC,0
121,LXHCDSVH,0
122,BNIUPSVK,0
123,FW3QI3WW,0
124,IEEUGXMY,1
125,FVVXDLBO,0
126,UC2JJB6Y,0
127,3WPAHP52,1
128,HDTCJJOE,1
129,UCSB9GKK,0
130,HANBFYTH,0
131,FLUU2HNV,0
132,64PIYWDJ,0
133,9AHNH8ZX,1
134,KLHUI2SE,0
135,YRHYUJFW,1
136,G5RWWH7F,0
137,SCBT9BAX,0
138,UGZGLVNB,0
139,2RRNUFBV,1
140,B6O59TEY,1
141,CYHRRYH6,0
142,GGYZVHWU,0
143,K6AM97RN,0
144,ATM5JQYM,0
145,7GYZSGWA,0
146,DFWUDQCR,0
147,E2Z98CR3,1
148,GD9KTSLY,0
149,2AMRA4OD,0
150,CFHZ3ZE6,1
151,BOMLVM5K,0
152,OBBEGBSY,1
153,FJEHOK8W,0
154,3GMAEVPJ,0
155,WAVDLUTH,0
156,6EN8GZX6,0
157,VXGA3GKB,0
158,U4MZ3U8C,1
159,GU4RDP8S,1
160,N3TPNHCD,0
161,JRRHWQC8,1
162,NZ5GBHZK,0
163,LCUC2LAJ,1
164,DJDSU9D2,1
165,647K6DBR,0
166,7NFXVESK,0
167,EWUWF25N,0
168,7QKYPLA8,0
169,XQVXWBNO,0
170,CNWH4MVA,0
171,AFJUJFQD,0
172,QKMFDX9H,0
173,YYMB5QBY,0
174,IRY3SEX7,0
175,CUAUZJH8,0
176,JYFUYQF5,1
177,I4NYEDFE,1
178,M3RSPRGQ,0
179,JIL3KWQN,0
180,X4B5ZBWU,0
181,AHYTHHSE,0
182,E7EHQEQK,1
183,FAMHAVN3,1
184,CCGKCTR6,0
185,6DTSELRV,0
186,LU8X3G6O,0
187,NPFDAUJY,0
188,DR9PXCFU,0
189,SHVZMWBV,0
190,8TGXGZHX,0
191,IKRSHJFW,0
192,TYKRZDCP,1
193,9IDA3L7P,0
194,ASOWCMDB,0
195,KZ5J2JGC,1
196,D5UCFKTV,0
197,2N8FFP7W,0
198,SA36MTFS,0
199,8UDMURUH,0
200,7VSQV6QN,0
201,IFUG9NC5,0
202,EQXDLQRG,0
203,JAR8YY9J,0
204,BS4TAF6M,0
205,WQJ9SPT9,1
206,7QHT4ON2,0
207,FNGPQN7B,0
208,DDOMDZRU,1
209,QYR9HXHP,0
210,S4NGXFXY,0
211,NOJ2KSCC,1
212,ZD2JRUNB,1
213,GZIPTSNN,0
214,LCFYUVE9,1
215,PPANVU9W,0
216,DRPV9STB,0
217,AFSPF3WZ,1
218,GPXEUNND,1
219,NSADMDSM,0
220,CKWJU8RQ,1
221,F7MNZSSU,0
222,BDGVMPZY,1
223,IA3MSRTR,0
224,JD3WTPMG,0
225,QT6DF6EW,1
226,NVDEMCZ2,0
227,9B6UTJVT,0
228,U6QYES9J,0
229,DZQPDSPS,0
230,CRGXVSBF,1
231,XIHJYS2V,1
232,7X2MC5GZ,1
233,ZBDVXTM5,0
234,UUBQPBR5,0
235,CUMZFBTD,0
236,E7QXYSQN,0
237,6UQAJP48,0
238,QHWB768Y,0
239,R6RXMXOJ,0
240,WXQGZG5K,0
241,GCUFKLHG,0
242,SJX4372M,0
243,VGEAMUZZ,0
244,ZWDXVKDF,1
245,WGMRCYLR,0
246,SI43K5CY,0
247,DSNBS2RS,0
248,XIMZCKSR,1
249,VEW9FXHT,0
250,JZJHDDDJ,1
251,4TYUR5HA,1
252,UHCDFDRX,0
253,E5QMOFUM,0
254,PSNVWDZH,0
255,5IQSWONG,0
256,CEAZEPY4,1
257,2TNRJXRX,0
258,BFROCARA,0
259,GRTJMRKM,0
260,6EDAM4EU,0
261,NRDB58KL,0
262,TCPJCWZR,0
263,KG8LD2BE,0
264,FHZ3XFDV,0
265,NZKCSDZ4,0
266,6DG6KJG4,0
267,BVPKDUNU,1
268,APR4PQ6X,0
269,HPWS8YFG,0
270,VRPBGTPU,0
271,XBCSX7G7,0
272,KEH3G8UA,0
273,WXNAVFLT,0
274,8J8NJ7M6,0
275,D4UW7Y85,0
276,SZRESXN7,0
277,UUQSXK5T,0
278,GPMUKOVY,1
279,6FYOKAZ5,0
280,ENUB4N9S,0
281,KERBCSGE,1
282,7HTA4C6J,1
283,4BTVMT6W,0
284,MR3J9USD,0
285,7S83FNQW,1
286,MSOKLC7S,0
287,GFMNATHU,0
288,NG4ABA6H,1
289,3GFHRAQY,0
290,BCSGZZPE,0
291,PQ9MCGZC,0
292,K7N596CG,0
293,8RUL6JEE,0
294,CVOFJRMP,0
295,B4FQX4HG,0
296,W7HAQKDV,0
297,8C5PKJ7G,0
298,E4GQJZSQ,0
299,UENREGNV,1
300,CC4LYHEW,1
301,GDKGLTBT,0
302,G3ER8CGX,0
303,ZG4KT59X,0
304,LW93KJMZ,1
305,9AR5FBSQ,1
306,FHLWDMRV,0
307,EON5DCWD,1
308,J8UXTMYV,0
309,IXBW5HZH,0
310,LDHQB458,0
311,GNHTIKF3,0
312,8NO22KTE,0
313,SGJFSSJK,0
314,TD8D3NDD,0
315,8RQ27JGU,1
316,A8GKBMBO,1
317,ODVMNUDE,1
318,EA5CRL7L,0
319,6UI7RPCH,0
320,7BJYM94L,0
321,X3PZJF7F,1
322,YCSSMPV7,1
323,4EV9VXL8,1
324,IPNJFQTY,0
325,XPWNJRJC,0
326,3WHNSBRB,0
327,U245YKM8,0
328,68EFFKBB,1
329,NEUII7AB,1
330,F7CSLYWT,0
331,5EOMOZHG,0
332,6CYUTUFN,0
333,K7YUC8LF,0
334,LSMCXMXA,0
335,AALPBPBP,0
336,ZPX6VOH2,0
337,CDBFWQGM,0
338,JUQ76NJV,1
339,QHE7UULR,0
340,JRMNMZJA,0
341,GZ4EZZFX,0
342,9L9JFIAR,1
343,GTOE4RN4,0
344,CUYE7ST4,0
345,FFM6DHEA,1
346,5XUK7XLZ,1
347,4HTGJEEZ,0
348,RWYBAMRG,0
349,RQZGBGGN,1
350,ITVSUTU9,0
351,6UMDX7NQ,1
352,4IVKAFYY,1
353,ZKYOSQEU,1
354,9JYXIDL4,1
355,XNURWQBT,0
356,HVNIJFQC,0
357,CGGVBJKZ,1
358,JO9DV3NY,1
359,EYENUQR9,1
360,FPU4ZI8H,0
361,2MALVTY4,0
362,QN4REV7D,0
363,27F5ZEQA,0
364,MKJUE4K2,0
365,4ECWF4DN,0
366,KWBJAQMY,0
367,3YAW8OEY,0
368,ZHHFH7H9,1
369,BO2822VM,0
370,NQZUPVUA,0
371,MUT2PZ7T,1
372,2MFKPCPS,1
373,4RLVOVMJ,1
374,JISGN7XF,0
375,NNOFHDAC,0
376,ODE23CPW,0
377,ZNTYNFME,1
378,NQM48VKU,0
379,DGVBCYY7,0
380,9F38NUKC,0
381,3Z7KCIZS,0
382,ERAX3STD,0
383,N9TCDYYG,0
384,R4UMWUZK,0
385,CPERTJBJ,0
386,4XK5BMA9,0
387,2PKDM5B2,0
388,SW5GTHZN,1
389,ATJAEQCJ,0
390,NHNXBSFY,0
